display,ANSWER,stimuli,responseA,responseB,responseC,responseD,word number,targetword
Instruction,,,,,,,,
Practice4,勉強する,Practice01F01.wav,禁止する,補足する,勉強する,回収する,01,study
Practice5,コーヒー,Practice02F01.wav,コーヒー,邪悪,授業料,警告,02,coffee
Practice6,ネコ,Practice03F01.wav,陶器,部長,配管工,ネコ,03,cat
Ready,,,,,,,,
Trial,感謝する,101S1F01.wav,感謝する,主張する,卒業する,勉強する,101,appreciate
Trial,幹部,102S1F01.wav,幹部,食事,建築,学校,102,executive
Trial,歓迎会,103S1F01.wav,歓迎会,保険,旅行,製造業,103,reception
Trial,軽食,104S1F01.wav,契約,遠足,軽食,証明書,104,refreshment
Trial,要求する,105S1F01.wav,比較する,出現する,要求する,評価する,105,require
Trial,商品を卸す,106S1F01.wav,除外する,決定する,商品を卸す,遅らせる,106,distribute
Trial,小旅行,107S1F01.wav,小旅行,手数料,後継者,手荷物,107,excursion
Trial,内線,108S1F01.wav,内線,予約,輸送,結果,108,extension
Trial,投資,109S1F01.wav,投資,予定表,検査,観客,109,investment
Trial,一流の,110S1F01.wav,一流の,丈夫な,複雑な,喜んで,110,prestigious
Trial,昇進,111S1F01.wav,完成,昇進,計算,分析,111,promotion
Trial,履歴書,112S1F01.wav,診断,玄関,履歴書,前提,112,resume
Trial,不動産,113S1F01.wav,記念品,付録,不動産,関税,113,estate
Trial,拡大する,114S1F01.wav,補足する,回収する,拡大する,禁止する,114,expand
Trial,出費,115S1F01.wav,警告,邪悪,出費,授業料,115,expense
Trial,自伝,116S1F01.wav,部長,陶器,自伝,配管工,116,autobiography
Trial,無料の,117S1F01.wav,楽しそうな,無料の,たくさんの,厳しい,117,complimentary
Trial,かなりの,118S1F01.wav,適切に,かなりの,おおよそ,やっかいな,118,considerably
Trial,現代の,119S1F01.wav,すばらしい,現代の,透明な,乱暴な,119,contemporary
Trial,協力,120S1F01.wav,長所,熱意,倉庫,協力,120,cooperation
Trial,電化製品,121S1F01.wav,領収書,開催地,運送会社,電化製品,121,appliance
Trial,試合相手,122S1F01.wav,循環,休憩時間,臆病者,試合相手,122,competitor
Trial,目的地,123S1F01.wav,眠気,故障,手段,目的地,123,destination
Trial,設備,124S1F01.wav,料金,設備,図形,注目,124,facility
Trial,薬効のある,125S1F01.wav,重要である,薬効のある,流通している,内々関与して,125,medicinal
Trial,地域の,126S1F01.wav,地域の,責任がある,成分の,望ましい,126,regional
Trial,登録する,127S1F01.wav,登録する,抵抗する,発掘する,取り替える,127,register
Trial,会計士,128S1F01.wav,会計士,新聞配達人,起業家,かぎ屋,128,accountant
Trial,獲得する,129S1F01.wav,放棄する,獲得する,気絶させる,規制する,129,acquire
Trial,組み立て,130S1F01.wav,誤植,組み立て,態度,仲間,130,assembly
Trial,委員会,131S1F01.wav,経費,特許,保育園,委員会,131,committee
Trial,訂正,132S1F01.wav,健康診断,講義室,料理,訂正,132,correction
Trial,部局,133S1F01.wav,運,需要,歩行者,部局,133,division
Trial,財政の,134S1F01.wav,余裕がある,追加の,例年の,財政の,134,financial
Trial,尋ねる,135S1F01.wav,提示する,収容する,鑑賞する,尋ねる,135,inquire
Trial,解決策,136S1F01.wav,予算,利益,発声,解決策,136,solution
Trial,相当な,137S1F01.wav,以前の,相当な,借りがある,成功した,137,substantial
Trial,位置付ける,138S1F01.wav,指名する,位置付ける,引き付ける,元気つける,138,locate
Trial,骨董品,139S1F01.wav,乗客,骨董品,広告,消費者,139,antique
Trial,生じる,140S1F01.wav,破壊する,予測する,生じる,改良する,140,arise
Trial,パンフレット,141S1F01.wav,溶接機,アレルギー,パンフレット,確認,141,brochure
Trial,行う,142S1F01.wav,上回る,開放する,預金する,行う,142,conduct
Trial,確かめる,143S1F01.wav,褒める,打ち解ける,割り当てる,確かめる,143,confirm
Trial,値する,144S1F01.wav,取り締まる,大目に見る,産む,値する,144,deserve
Trial,備え付ける,145S1F01.wav,かき乱す,節約する,にぎわう,備え付ける,145,equip
Trial,頻繁な,146S1F01.wav,味のよい,奇異な,直立した,頻繁な,146,frequent
Trial,温室,147S1F01.wav,能力,雨雲,温室,姿勢,147,greenhouse
Trial,提供する,148S1F01.wav,まごまごして歩く,引用する,続行する,提供する,148,provide
Trial,台本,149S1F01.wav,緯度,料理のつけ合わせ,機能不全,台本,149,screenplay
Trial,開始,150S1F01.wav,杯,名声,足場,開始,150,launch
Trial,称賛の言葉,151S1F01.wav,無念,はり治療,真ちゅう,称賛の言葉,151,praise
Trial,コンロ,152S1F01.wav,大失敗,食欲不振,死亡,コンロ,152,stove
Trial,コピー機,153S1F01.wav,芽,質問,総収入,コピー機,153,photocopier
Trial,料理に関する,154S1F01.wav,記憶を助ける,料理に関する,燃えるような,落葉性の,154,culinary
Trial,監督者,155S1F01.wav,中傷,監督者,天蓋,暴動,155,supervisor
Trial,一時的な,156S1F01.wav,外科の,一時的な,深いふちの,荒れた,156,temporary
Trial,応募者,157S1F01.wav,運搬人,応募者,旅行日程表,誘惑するもの,157,applicant
Trial,大通り,158S1F01.wav,教授,大通り,利用,老齢化,158,avenue
Trial,戸棚,159S1F01.wav,小旅館,戸棚,特派員,欠陥,159,cabinet
Trial,やりがいのある,160S1F01.wav,貪欲な,やりがいのある,巨大な,指数関数的に,160,challenging
Trial,会議,161S1F01.wav,会議,休止,道具,バイパス,161,conference
Trial,企業の,162S1F01.wav,企業の,味つけした,豪華な,注目すべき,162,corporate
Trial,家具,163S1F01.wav,家具,抵当,後援,野生生物,163,furniture
Trial,本部,164S1F01.wav,本部,禁止,医師,支出,164,headquarter
Trial,仮の,165S1F01.wav,仮の,流れない,不良な,信任の厚い,165,tentative
Trial,料理をまかなう,166S1F01.wav,立ち止まる,盛装する,料理をまかなう,受け継ぐ,166,cater
Trial,同僚,167S1F01.wav,補足,溶接工,同僚,陶器製造,167,colleague
Trial,現在の,168S1F01.wav,根拠の確実な,熱烈な,現在の,あっと言わせるほど,168,current
Trial,締め切り,169S1F01.wav,建築家,会計学,締め切り,財産,169,deadline
Trial,食事をする人,170S1F01.wav,専門的技術,経営幹部,食事をする人,保存,170,diner
Trial,幹線道路,171S1F01.wav,行為,幹線道路,備品,作業場,171,highway
Trial,雇う,172S1F01.wav,代える,雇う,正しいとする,満了する,172,hire
Trial,小包,173S1F01.wav,天頂,小包,用具,出席者,173,packet
Trial,患者,174S1F01.wav,不履行,患者,藻類,摂生,174,patient
Trial,存在,175S1F01.wav,害虫,存在,激怒,艦隊,175,presence
Trial,出版する,176S1F01.wav,いっぱい食わせる,出版する,踏みつける,崇拝する,176,publish
Trial,転任させる,177S1F01.wav,思索する,くまなく探る,避ける,転任させる,177,transfer
Trial,ゴミ入れ,178S1F01.wav,獲得,目録,不足額,ゴミ入れ,178,bin
Trial,予約する,179S1F01.wav,破裂する,付加する,解ける,予約する,179,book
Trial,運賃,180S1F01.wav,大混乱,風刺画,隠者,運賃,180,fare